2017-02-08T12:41:51.0312500Z|Program_Name_Editing|NIST_MTC_CRADA_BOX_REV-A_OP3.NC
2017-02-08T12:42:23.8593750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:24.0312500Z|Block_Number|265
2017-02-08T12:42:24.0625000Z|Feed_Rate|12.5666666666667
2017-02-08T12:42:24.4062500Z|Block_Number|267
2017-02-08T12:42:24.4218750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:24.4375000Z|Block_Number|272
2017-02-08T12:42:24.5937500Z|Block_Number|276
2017-02-08T12:42:24.6250000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:24.6406250Z|Program_Runtime_Seconds|27
2017-02-08T12:42:24.7812500Z|Block_Number|281
2017-02-08T12:42:24.8125000Z|Feed_Rate|12.65
2017-02-08T12:42:25.0000000Z|Block_Number|285
2017-02-08T12:42:25.0156250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:25.2187500Z|Block_Number|290
2017-02-08T12:42:25.4218750Z|Block_Number|295
2017-02-08T12:42:25.4375000Z|Feed_Rate|12.65
2017-02-08T12:42:25.5937500Z|Block_Number|297
2017-02-08T12:42:25.6093750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:25.6250000Z|Program_Runtime_Seconds|28
2017-02-08T12:42:25.7968750Z|Block_Number|298
2017-02-08T12:42:26.5000000Z|Block_Number|299
2017-02-08T12:42:26.6875000Z|Program_Runtime_Seconds|29
2017-02-08T12:42:26.8437500Z|Feed_Rate|12.7
2017-02-08T12:42:27.0000000Z|Feed_Rate|12.5833333333333
2017-02-08T12:42:27.1718750Z|Block_Number|300
2017-02-08T12:42:27.2031250Z|Feed_Rate|94.45
2017-02-08T12:42:27.3593750Z|Block_Number|301
2017-02-08T12:42:27.3906250Z|Feed_Rate|66.35
2017-02-08T12:42:27.5468750Z|Block_Number|302
2017-02-08T12:42:27.5625000Z|Feed_Rate|11.5666666666667
2017-02-08T12:42:27.7500000Z|Block_Number|303
2017-02-08T12:42:27.7656250Z|Feed_Rate|9.18333333333333
2017-02-08T12:42:27.7812500Z|Program_Runtime_Seconds|30
2017-02-08T12:42:27.9062500Z|Block_Number|304
2017-02-08T12:42:27.9218750Z|Feed_Rate|9.21666666666667
2017-02-08T12:42:28.1093750Z|Block_Number|308
2017-02-08T12:42:28.1093750Z|Feed_Rate|12.7
2017-02-08T12:42:28.2656250Z|Block_Number|313
2017-02-08T12:42:28.2812500Z|Feed_Rate|12.65
2017-02-08T12:42:28.4687500Z|Block_Number|317
2017-02-08T12:42:28.4843750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:28.6562500Z|Block_Number|321
2017-02-08T12:42:28.6718750Z|Feed_Rate|12.65
2017-02-08T12:42:28.6875000Z|Program_Runtime_Seconds|31
2017-02-08T12:42:28.8437500Z|Block_Number|324
2017-02-08T12:42:28.8593750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:29.0000000Z|Block_Number|328
2017-02-08T12:42:29.0312500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:29.1875000Z|Block_Number|333
2017-02-08T12:42:29.2187500Z|Feed_Rate|12.5166666666667
2017-02-08T12:42:29.5625000Z|Block_Number|337
2017-02-08T12:42:29.5781250Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:29.6093750Z|Block_Number|341
2017-02-08T12:42:29.7656250Z|Block_Number|346
2017-02-08T12:42:29.7812500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:29.7968750Z|Program_Runtime_Seconds|32
2017-02-08T12:42:29.9375000Z|Block_Number|350
2017-02-08T12:42:29.9687500Z|Feed_Rate|12.65
2017-02-08T12:42:30.1250000Z|Block_Number|353
2017-02-08T12:42:30.1562500Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:30.3125000Z|Block_Number|357
2017-02-08T12:42:30.3125000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:30.5000000Z|Block_Number|361
2017-02-08T12:42:30.5156250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:30.6875000Z|Block_Number|366
2017-02-08T12:42:30.7031250Z|Program_Runtime_Seconds|33
2017-02-08T12:42:30.8750000Z|Block_Number|370
2017-02-08T12:42:30.8750000Z|Feed_Rate|12.3
2017-02-08T12:42:31.0468750Z|Block_Number|373
2017-02-08T12:42:31.0625000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:31.2343750Z|Block_Number|377
2017-02-08T12:42:31.2500000Z|Feed_Rate|12.1833333333333
2017-02-08T12:42:31.4218750Z|Block_Number|382
2017-02-08T12:42:31.4375000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:31.6093750Z|Block_Number|386
2017-02-08T12:42:31.6250000Z|Feed_Rate|11.7666666666667
2017-02-08T12:42:31.6406250Z|Program_Runtime_Seconds|34
2017-02-08T12:42:31.7968750Z|Block_Number|390
2017-02-08T12:42:31.7968750Z|Feed_Rate|12.65
2017-02-08T12:42:31.9843750Z|Block_Number|395
2017-02-08T12:42:32.0000000Z|Feed_Rate|12.5
2017-02-08T12:42:32.1406250Z|Block_Number|397
2017-02-08T12:42:32.1718750Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:32.3281250Z|Block_Number|402
2017-02-08T12:42:32.3593750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:32.5156250Z|Block_Number|406
2017-02-08T12:42:32.7031250Z|Block_Number|410
2017-02-08T12:42:32.7343750Z|Feed_Rate|12.7
2017-02-08T12:42:32.7500000Z|Program_Runtime_Seconds|35
2017-02-08T12:42:32.8906250Z|Block_Number|415
2017-02-08T12:42:32.9062500Z|Feed_Rate|12.65
2017-02-08T12:42:33.0937500Z|Block_Number|419
2017-02-08T12:42:33.1093750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:33.2656250Z|Block_Number|424
2017-02-08T12:42:33.2968750Z|Feed_Rate|12.05
2017-02-08T12:42:33.4531250Z|Block_Number|428
2017-02-08T12:42:33.4843750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:33.6406250Z|Block_Number|430
2017-02-08T12:42:33.6718750Z|Feed_Rate|12.1333333333333
2017-02-08T12:42:33.6875000Z|Program_Runtime_Seconds|36
2017-02-08T12:42:33.8281250Z|Block_Number|435
2017-02-08T12:42:33.8593750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:34.0156250Z|Block_Number|439
2017-02-08T12:42:34.0468750Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:34.2031250Z|Block_Number|444
2017-02-08T12:42:34.2343750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:34.4062500Z|Block_Number|448
2017-02-08T12:42:34.4218750Z|Feed_Rate|12.65
2017-02-08T12:42:34.6093750Z|Block_Number|453
2017-02-08T12:42:34.6250000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:34.7656250Z|Block_Number|457
2017-02-08T12:42:34.7968750Z|Feed_Rate|12.5833333333333
2017-02-08T12:42:34.7968750Z|Program_Runtime_Seconds|37
2017-02-08T12:42:34.9531250Z|Block_Number|462
2017-02-08T12:42:34.9843750Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:35.1562500Z|Block_Number|464
2017-02-08T12:42:35.1718750Z|Feed_Rate|12.5
2017-02-08T12:42:35.3281250Z|Block_Number|468
2017-02-08T12:42:35.5156250Z|Block_Number|473
2017-02-08T12:42:35.5312500Z|Feed_Rate|12.7
2017-02-08T12:42:35.7031250Z|Block_Number|477
2017-02-08T12:42:35.7187500Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:35.7343750Z|Program_Runtime_Seconds|38
2017-02-08T12:42:35.8906250Z|Block_Number|482
2017-02-08T12:42:35.9062500Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:36.0625000Z|Block_Number|484
2017-02-08T12:42:36.0781250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:36.2500000Z|Block_Number|488
2017-02-08T12:42:36.2500000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:36.4375000Z|Block_Number|493
2017-02-08T12:42:36.4531250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:36.6250000Z|Block_Number|497
2017-02-08T12:42:36.6406250Z|Feed_Rate|12.7
2017-02-08T12:42:36.6718750Z|Program_Runtime_Seconds|39
2017-02-08T12:42:36.8125000Z|Block_Number|502
2017-02-08T12:42:36.8281250Z|Feed_Rate|12.65
2017-02-08T12:42:37.0000000Z|Block_Number|506
2017-02-08T12:42:37.0156250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:37.1875000Z|Block_Number|510
2017-02-08T12:42:37.2031250Z|Feed_Rate|12.65
2017-02-08T12:42:37.3750000Z|Block_Number|515
2017-02-08T12:42:37.3906250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:37.5625000Z|Block_Number|517
2017-02-08T12:42:37.5781250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:37.7500000Z|Block_Number|522
2017-02-08T12:42:37.7656250Z|Feed_Rate|12.5333333333333
2017-02-08T12:42:37.7812500Z|Program_Runtime_Seconds|40
2017-02-08T12:42:37.9375000Z|Block_Number|526
2017-02-08T12:42:37.9375000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:38.1250000Z|Block_Number|530
2017-02-08T12:42:38.1406250Z|Feed_Rate|12.4833333333333
2017-02-08T12:42:38.3125000Z|Block_Number|535
2017-02-08T12:42:38.3281250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:38.5000000Z|Block_Number|539
2017-02-08T12:42:38.5156250Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:38.6875000Z|Block_Number|544
2017-02-08T12:42:38.7031250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:38.7187500Z|Program_Runtime_Seconds|41
2017-02-08T12:42:38.8750000Z|Block_Number|548
2017-02-08T12:42:38.8906250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:39.0625000Z|Block_Number|550
2017-02-08T12:42:39.0781250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:39.2500000Z|Block_Number|555
2017-02-08T12:42:39.4375000Z|Block_Number|559
2017-02-08T12:42:39.7812500Z|Block_Number|568
2017-02-08T12:42:39.7968750Z|Feed_Rate|12.7
2017-02-08T12:42:39.8125000Z|Program_Runtime_Seconds|42
2017-02-08T12:42:39.9687500Z|Block_Number|573
2017-02-08T12:42:40.0000000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:40.1562500Z|Block_Number|577
2017-02-08T12:42:40.1875000Z|Feed_Rate|12.3666666666667
2017-02-08T12:42:40.3437500Z|Feed_Rate|12.6833333333333
