2017-02-02T19:26:14.7343750Z|Program_Runtime_Seconds|102
2017-02-02T19:26:15.6250000Z|Feed_Rate|23.85
2017-02-02T19:26:15.6406250Z|Program_Runtime_Seconds|103
2017-02-02T19:26:15.7812500Z|Block_Number|31
2017-02-02T19:26:15.7968750Z|Feed_Rate|31.8666666666667
2017-02-02T19:26:15.9843750Z|Block_Number|33
2017-02-02T19:26:15.9843750Z|Feed_Rate|31.4333333333333
2017-02-02T19:26:16.1250000Z|Feed_Rate|80.1166666666667
2017-02-02T19:26:16.1250000Z|Spindle_Speed|3252.239920
2017-02-02T19:26:16.2812500Z|Feed_Rate|176.1
2017-02-02T19:26:16.2968750Z|Spindle_Speed|2630.039821
2017-02-02T19:26:16.4218750Z|Spindle_Speed|1261.199602
2017-02-02T19:26:16.5937500Z|Program_Runtime_Seconds|104
2017-02-02T19:26:16.6093750Z|Spindle_Speed|16.799403
2017-02-02T19:26:16.7500000Z|Spindle_Speed|0.000000
2017-02-02T19:26:17.6718750Z|Program_Runtime_Seconds|105
2017-02-02T19:26:18.5937500Z|Feed_Rate|106.633333333333
2017-02-02T19:26:18.7656250Z|Block_Number|35
2017-02-02T19:26:18.7968750Z|Feed_Rate|0
2017-02-02T19:26:18.9062500Z|Program_Runtime_Seconds|106
2017-02-02T19:26:18.9375000Z|Feed_Rate|75.4166666666667
2017-02-02T19:26:18.9531250Z|Spindle_Speed|248.880040
2017-02-02T19:26:19.1406250Z|Feed_Rate|160.583333333333
2017-02-02T19:26:19.2500000Z|Feed_Rate|181.6
2017-02-02T19:26:19.4062500Z|Spindle_Speed|124.440020
2017-02-02T19:26:19.5937500Z|Program_Runtime_Seconds|107
2017-02-02T19:26:19.6093750Z|Spindle_Speed|0.000000
2017-02-02T19:26:20.2343750Z|Feed_Rate|172.483333333333
2017-02-02T19:26:20.3906250Z|Feed_Rate|47.4833333333333
2017-02-02T19:26:20.5781250Z|Feed_Rate|0
2017-02-02T19:26:20.5937500Z|Program_Runtime_Seconds|108
2017-02-02T19:26:20.7343750Z|Feed_Rate|200.666666666667
2017-02-02T19:26:20.8750000Z|Feed_Rate|225.533333333333
2017-02-02T19:26:21.0312500Z|Feed_Rate|0
2017-02-02T19:26:21.5781250Z|Program_Runtime_Seconds|109
2017-02-02T19:26:22.5937500Z|Program_Runtime_Seconds|110
2017-02-02T19:26:23.2500000Z|Current_Tool|0.000000
2017-02-02T19:26:23.6250000Z|Program_Runtime_Seconds|111
2017-02-02T19:26:23.7812500Z|Current_Tool|3.000000
2017-02-02T19:26:24.5468750Z|Program_Runtime_Seconds|112
2017-02-02T19:26:24.8125000Z|Block_Number|36
2017-02-02T19:26:25.1250000Z|Feed_Rate|189.65
2017-02-02T19:26:25.1406250Z|Spindle_Speed|497.760080
2017-02-02T19:26:25.2968750Z|Spindle_Speed|1742.160279
2017-02-02T19:26:25.4531250Z|Spindle_Speed|2364.360378
2017-02-02T19:26:25.6250000Z|Program_Runtime_Seconds|113
2017-02-02T19:26:25.6406250Z|Spindle_Speed|3608.760577
2017-02-02T19:26:25.7812500Z|Spindle_Speed|4479.840717
2017-02-02T19:26:25.9375000Z|Spindle_Speed|5226.480836
2017-02-02T19:26:26.0937500Z|Spindle_Speed|6470.881035
2017-02-02T19:26:26.2656250Z|Spindle_Speed|7093.081135
2017-02-02T19:26:26.4062500Z|Spindle_Speed|8337.481334
2017-02-02T19:26:26.5625000Z|Spindle_Speed|8959.681434
2017-02-02T19:26:26.7500000Z|Block_Number|37
2017-02-02T19:26:26.7656250Z|Feed_Rate|0
2017-02-02T19:26:26.7812500Z|Program_Runtime_Seconds|114
2017-02-02T19:26:26.8593750Z|Spindle_Speed|9000.000000
2017-02-02T19:26:27.6250000Z|Program_Runtime_Seconds|115
2017-02-02T19:26:28.6250000Z|Program_Runtime_Seconds|116
2017-02-02T19:26:29.3281250Z|Feed_Rate|176.1
2017-02-02T19:26:29.6250000Z|Program_Runtime_Seconds|117
2017-02-02T19:26:30.7031250Z|Program_Runtime_Seconds|118
2017-02-02T19:26:31.1875000Z|Block_Number|38
2017-02-02T19:26:31.2187500Z|Feed_Rate|146.2
2017-02-02T19:26:31.3593750Z|Block_Number|39
2017-02-02T19:26:31.3750000Z|Feed_Rate|58.1666666666667
2017-02-02T19:26:31.5000000Z|Feed_Rate|10.5833333333333
2017-02-02T19:26:31.6875000Z|Block_Number|40
2017-02-02T19:26:31.7031250Z|Feed_Rate|10.8833333333333
2017-02-02T19:26:31.7187500Z|Program_Runtime_Seconds|119
2017-02-02T19:26:31.8437500Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:32.0312500Z|Block_Number|41
2017-02-02T19:26:32.1718750Z|Feed_Rate|38.1
2017-02-02T19:26:32.5000000Z|Program_Runtime_Seconds|60
2017-02-02T19:26:32.5312500Z|Program_Runtime_Seconds|120
2017-02-02T19:26:33.6250000Z|Program_Runtime_Seconds|121
2017-02-02T19:26:34.7031250Z|Program_Runtime_Seconds|122
2017-02-02T19:26:35.0468750Z|Block_Number|42
2017-02-02T19:26:35.0625000Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:35.2187500Z|Block_Number|44
2017-02-02T19:26:35.2343750Z|Feed_Rate|38.1
2017-02-02T19:26:35.3906250Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:35.5468750Z|Block_Number|45
2017-02-02T19:26:35.5781250Z|Feed_Rate|38.1
2017-02-02T19:26:35.7343750Z|Program_Runtime_Seconds|123
2017-02-02T19:26:36.6875000Z|Program_Runtime_Seconds|124
2017-02-02T19:26:37.0156250Z|Block_Number|46
2017-02-02T19:26:37.0312500Z|Feed_Rate|37.6
2017-02-02T19:26:37.1875000Z|Block_Number|47
2017-02-02T19:26:37.1875000Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:37.3593750Z|Block_Number|48
2017-02-02T19:26:37.3750000Z|Feed_Rate|38.1
2017-02-02T19:26:37.5625000Z|Block_Number|49
2017-02-02T19:26:37.7343750Z|Program_Runtime_Seconds|125
2017-02-02T19:26:38.6718750Z|Program_Runtime_Seconds|126
2017-02-02T19:26:39.6250000Z|Program_Runtime_Seconds|127
2017-02-02T19:26:40.4218750Z|Block_Number|50
2017-02-02T19:26:40.4531250Z|Feed_Rate|38.0333333333333
2017-02-02T19:26:40.6093750Z|Block_Number|51
2017-02-02T19:26:40.6406250Z|Feed_Rate|38.1
2017-02-02T19:26:40.6562500Z|Program_Runtime_Seconds|128
2017-02-02T19:26:40.7968750Z|Block_Number|52
2017-02-02T19:26:40.7968750Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:40.9843750Z|Block_Number|53
2017-02-02T19:26:40.9843750Z|Feed_Rate|38.1
2017-02-02T19:26:41.6093750Z|Program_Runtime_Seconds|129
2017-02-02T19:26:42.3906250Z|Feed_Rate|37.6333333333333
2017-02-02T19:26:42.5781250Z|Block_Number|55
2017-02-02T19:26:42.6093750Z|Feed_Rate|37.6
2017-02-02T19:26:42.6250000Z|Program_Runtime_Seconds|130
2017-02-02T19:26:42.7656250Z|Block_Number|56
2017-02-02T19:26:42.7656250Z|Feed_Rate|38.05
2017-02-02T19:26:42.9531250Z|Block_Number|57
2017-02-02T19:26:42.9843750Z|Feed_Rate|38.1
2017-02-02T19:26:43.7500000Z|Program_Runtime_Seconds|131
2017-02-02T19:26:44.6875000Z|Program_Runtime_Seconds|132
2017-02-02T19:26:45.6093750Z|Program_Runtime_Seconds|133
2017-02-02T19:26:45.7968750Z|Block_Number|58
2017-02-02T19:26:45.8125000Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:45.9843750Z|Block_Number|59
2017-02-02T19:26:46.1718750Z|Block_Number|60
2017-02-02T19:26:46.1875000Z|Feed_Rate|38.0333333333333
2017-02-02T19:26:46.3593750Z|Block_Number|61
2017-02-02T19:26:46.3750000Z|Feed_Rate|38.1
2017-02-02T19:26:46.6875000Z|Program_Runtime_Seconds|134
2017-02-02T19:26:47.6250000Z|Program_Runtime_Seconds|135
2017-02-02T19:26:47.9531250Z|Block_Number|63
2017-02-02T19:26:48.1562500Z|Block_Number|64
2017-02-02T19:26:48.3281250Z|Block_Number|65
2017-02-02T19:26:48.3437500Z|Feed_Rate|38.0833333333333
2017-02-02T19:26:48.4843750Z|Feed_Rate|38.1
2017-02-02T19:26:48.6562500Z|Program_Runtime_Seconds|136
2017-02-02T19:26:49.6562500Z|Program_Runtime_Seconds|137
2017-02-02T19:26:50.6875000Z|Program_Runtime_Seconds|138
2017-02-02T19:26:51.1875000Z|Block_Number|66
2017-02-02T19:26:51.2031250Z|Feed_Rate|38.0833333333333
2017-02-02T19:26:51.3437500Z|Block_Number|67
2017-02-02T19:26:51.3750000Z|Feed_Rate|38.1
2017-02-02T19:26:51.5468750Z|Block_Number|69
2017-02-02T19:26:51.5625000Z|Feed_Rate|38.0333333333333
2017-02-02T19:26:51.7187500Z|Feed_Rate|38.1
2017-02-02T19:26:51.7343750Z|Program_Runtime_Seconds|139
2017-02-02T19:26:52.6875000Z|Program_Runtime_Seconds|140
2017-02-02T19:26:53.2031250Z|Block_Number|70
2017-02-02T19:26:53.3750000Z|Block_Number|71
2017-02-02T19:26:53.3906250Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:53.5625000Z|Block_Number|72
2017-02-02T19:26:53.5781250Z|Feed_Rate|38.0833333333333
2017-02-02T19:26:53.5937500Z|Program_Runtime_Seconds|141
2017-02-02T19:26:53.7500000Z|Block_Number|73
2017-02-02T19:26:53.7656250Z|Feed_Rate|38.1
2017-02-02T19:26:54.7656250Z|Program_Runtime_Seconds|142
2017-02-02T19:26:55.6562500Z|Program_Runtime_Seconds|143
2017-02-02T19:26:56.6406250Z|Block_Number|74
2017-02-02T19:26:56.6562500Z|Feed_Rate|38.0833333333333
2017-02-02T19:26:56.6718750Z|Program_Runtime_Seconds|144
2017-02-02T19:26:56.8281250Z|Block_Number|75
2017-02-02T19:26:56.8593750Z|Feed_Rate|38.1
2017-02-02T19:26:57.0000000Z|Block_Number|77
2017-02-02T19:26:57.0156250Z|Feed_Rate|38.0666666666667
2017-02-02T19:26:57.1718750Z|Feed_Rate|38.1
2017-02-02T19:26:57.6562500Z|Program_Runtime_Seconds|145
2017-02-02T19:26:58.6250000Z|Block_Number|78
2017-02-02T19:26:58.6406250Z|Feed_Rate|37.7833333333333
2017-02-02T19:26:58.6562500Z|Program_Runtime_Seconds|146
2017-02-02T19:26:58.7968750Z|Block_Number|79
2017-02-02T19:26:58.8125000Z|Feed_Rate|37.7666666666667
2017-02-02T19:26:58.9687500Z|Block_Number|80
2017-02-02T19:26:58.9843750Z|Feed_Rate|38.0333333333333
2017-02-02T19:26:59.1562500Z|Block_Number|81
2017-02-02T19:26:59.1718750Z|Feed_Rate|38.1
2017-02-02T19:26:59.6406250Z|Program_Runtime_Seconds|147
2017-02-02T19:27:00.5781250Z|Program_Runtime_Seconds|148
2017-02-02T19:27:01.6718750Z|Program_Runtime_Seconds|149
2017-02-02T19:27:02.0156250Z|Block_Number|82
2017-02-02T19:27:02.0312500Z|Feed_Rate|38.0666666666667
2017-02-02T19:27:02.1718750Z|Block_Number|83
2017-02-02T19:27:02.3437500Z|Block_Number|85
2017-02-02T19:27:02.3593750Z|Feed_Rate|38.0333333333333
2017-02-02T19:27:02.5312500Z|Feed_Rate|38.1
2017-02-02T19:27:02.6718750Z|Program_Runtime_Seconds|150
2017-02-02T19:27:03.6093750Z|Program_Runtime_Seconds|151
2017-02-02T19:27:04.0781250Z|Block_Number|86
2017-02-02T19:27:04.0937500Z|Feed_Rate|38.05
2017-02-02T19:27:04.2656250Z|Block_Number|88
2017-02-02T19:27:04.2812500Z|Feed_Rate|38.1
2017-02-02T19:27:04.4375000Z|Feed_Rate|38.0666666666667
2017-02-02T19:27:04.6406250Z|Block_Number|89
2017-02-02T19:27:04.6562500Z|Feed_Rate|38.1
2017-02-02T19:27:04.6718750Z|Program_Runtime_Seconds|152
2017-02-02T19:27:05.5625000Z|Program_Runtime_Seconds|153
2017-02-02T19:27:06.5312500Z|Program_Runtime_Seconds|154
2017-02-02T19:27:07.3281250Z|Feed_Rate|38.0833333333333
2017-02-02T19:27:07.5156250Z|Block_Number|91
2017-02-02T19:27:07.5156250Z|Feed_Rate|38.0666666666667
2017-02-02T19:27:07.7031250Z|Block_Number|92
2017-02-02T19:27:07.7187500Z|Feed_Rate|38.0833333333333
2017-02-02T19:27:07.7343750Z|Program_Runtime_Seconds|155
2017-02-02T19:27:07.8906250Z|Block_Number|93
2017-02-02T19:27:07.9062500Z|Feed_Rate|38.1
2017-02-02T19:27:08.5312500Z|Program_Runtime_Seconds|156
2017-02-02T19:27:09.4843750Z|Block_Number|94
